review_id,review_text,sentiment,rating
58,"Dreadful script. How did this get made?",0,2.0
59,"Joyful and uplifting. Exactly what cinema should be.",1,8.5
60,"Overlong and pretentious. Not for me.",0,4.0
61,"Powerful performances across the board. A must-see.",1,9.0
62,"Cheesy and predictable. Nothing original here.",0,3.5
63,"Touching and beautifully shot. Will watch again.",1,8.0
64,"Awful from start to finish. Huge letdown.",0,1.5
65,"Brilliant concept executed perfectly. Loved every second!",1,9.0
66,"Slow burn that never caught fire. Boring.",0,3.0
67,"Such a feel-good movie! Perfect for any mood.",1,8.5
68,"Waste of a good cast. Script was terrible.",0,3.0
69,"Masterful storytelling. One of the best I have seen.",1,9.5
70,"Forgettable and bland. Nothing stood out.",0,4.0
71,"Emotional and gripping. Could not look away.",1,8.5
72,"Poor character development. Could not care about anyone.",0,3.5
73,"A delight from beginning to end. So much fun!",1,8.0
74,"Terrible pacing and weak ending. Disappointing.",0,3.0
75,"Outstanding in every way. A true classic in the making.",1,9.0
76,"Boring and pointless. Do not bother.",0,2.5
77,"Heartbreaking and beautiful. Cinema at its finest.",1,9.0
78,"Bad dialogue and worse acting. Skip it.",0,2.0
79,"Incredibly moving. The kind of film that changes you.",1,8.5
80,"Overrated and dull. Expected so much more.",0,4.0
81,"Thrilling and emotional. A rollercoaster of feelings!",1,9.0
82,"Confusing mess. Could not make sense of the plot.",0,2.5
83,"Wonderful performances and a touching story. Loved it!",1,8.5
84,"Cheap and lazy filmmaking. Very disappointed.",0,2.0
85,"A gem of a film. Do not miss this one!",1,9.0
86,"Tedious and overlong. Fell asleep.",0,3.0
87,"So powerful and well-crafted. Bravo!",1,8.5
88,"Worst movie of the year. No question.",0,1.5
89,"Beautiful and inspiring. Exactly what I needed.",1,8.5
90,"Predictable and boring. Seen it all before.",0,4.0
91,"The acting was phenomenal. Story was gripping.",1,9.0
92,"Terrible special effects. Looked fake and cheap.",0,2.5
93,"Uplifting and heartwarming. A joy to watch.",1,8.0
94,"Complete nonsense. Waste of time.",0,2.0
95,"One of the best films ever made. Truly outstanding.",1,9.5
96,"Dull and uninspired. Nothing to see here.",0,3.5
97,"So touching! The ending was perfect.",1,8.5
98,"Bad writing and worse direction. Avoid.",0,2.0
99,"A masterpiece of modern cinema. Stunning.",1,9.0
100,"Overhyped garbage. Do not believe the reviews.",0,2.0
